IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.159.146,2083,TRUE,HKG,Asia Pacific,Hong Kong,74 ms,4685 kB/s
8.210.3.24,2083,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,4684 kB/s
8.210.174.156,2083,TRUE,HKG,Asia Pacific,Hong Kong,72 ms,4652 kB/s
47.243.86.79,2053,TRUE,HKG,Asia Pacific,Hong Kong,75 ms,4651 kB/s
47.242.171.94,2087,TRUE,HKG,Asia Pacific,Hong Kong,88 ms,4645 kB/s
47.242.234.127,2053,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,4593 kB/s
47.242.234.127,2083,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,4584 kB/s
8.210.207.214,2096,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,4568 kB/s
47.242.234.127,2096,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,4510 kB/s
8.210.48.107,2083,TRUE,HKG,Asia Pacific,Hong Kong,91 ms,4469 kB/s
8.210.245.224,8443,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,4418 kB/s
47.243.107.148,8443,TRUE,HKG,Asia Pacific,Hong Kong,54 ms,4362 kB/s
47.76.204.76,2096,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,4302 kB/s
47.242.202.230,2087,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,4298 kB/s
47.76.146.1,8443,TRUE,HKG,Asia Pacific,Hong Kong,76 ms,4296 kB/s
47.242.202.230,2083,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,4279 kB/s
8.217.121.207,2096,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,4276 kB/s
8.210.174.156,8443,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,4213 kB/s
8.217.121.207,2053,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,4179 kB/s
47.76.159.146,2087,TRUE,HKG,Asia Pacific,Hong Kong,72 ms,4123 kB/s
47.242.202.230,8443,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,4005 kB/s
8.210.34.188,2053,TRUE,HKG,Asia Pacific,Hong Kong,88 ms,3968 kB/s
47.243.60.150,2096,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,3951 kB/s
47.243.107.148,2087,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,3820 kB/s
47.238.164.202,443,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,3690 kB/s
47.242.252.237,2096,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,3680 kB/s
47.242.155.183,2087,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,3618 kB/s
8.210.34.188,2087,TRUE,HKG,Asia Pacific,Hong Kong,76 ms,3513 kB/s
8.217.121.207,8443,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,3435 kB/s
47.243.107.148,2096,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,3148 kB/s
47.243.60.150,2083,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,3094 kB/s
8.217.132.184,443,TRUE,HKG,Asia Pacific,Hong Kong,53 ms,3009 kB/s
8.210.207.214,8443,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,2998 kB/s
47.242.79.71,8443,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,2968 kB/s
47.242.252.237,2087,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,2966 kB/s
47.242.171.94,8443,TRUE,HKG,Asia Pacific,Hong Kong,71 ms,2940 kB/s
8.210.34.188,2096,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,2873 kB/s
47.76.146.1,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,2729 kB/s
47.242.202.230,2053,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,2524 kB/s
8.218.3.12,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,2508 kB/s
47.242.79.71,2087,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,2343 kB/s
8.210.9.129,2096,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,2003 kB/s
8.218.122.55,8443,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,1992 kB/s
47.242.252.237,8443,TRUE,HKG,Asia Pacific,Hong Kong,77 ms,1899 kB/s
47.76.204.76,2083,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,1891 kB/s
8.210.48.107,8443,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,1883 kB/s
8.217.90.154,443,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,1567 kB/s
8.218.3.12,2096,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,1478 kB/s
47.243.27.217,2087,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,1465 kB/s
47.243.203.119,8443,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,1388 kB/s
47.242.202.230,2096,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,1350 kB/s
8.210.9.129,2087,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,1033 kB/s
47.243.27.217,8443,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,972 kB/s
8.218.3.12,2083,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,931 kB/s
47.76.77.103,2096,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,902 kB/s
47.76.146.1,2087,TRUE,HKG,Asia Pacific,Hong Kong,73 ms,860 kB/s
47.76.77.103,8443,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,800 kB/s
47.76.94.15,8443,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,604 kB/s
47.76.94.15,2053,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,563 kB/s
47.76.146.1,2083,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,505 kB/s
47.76.33.40,8443,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,473 kB/s
8.217.232.246,2096,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,342 kB/s
8.218.122.55,2087,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,323 kB/s
47.76.146.1,2096,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,237 kB/s
8.210.207.214,2087,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,173 kB/s
8.218.3.12,2087,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,124 kB/s
8.210.92.27,443,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,14 kB/s
47.242.176.237,2053,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,0 kB/s
8.218.122.55,2096,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,0 kB/s
47.76.33.40,2053,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,0 kB/s
47.57.13.107,443,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,0 kB/s
